"delivery_id","order_id","driver_id","hub_id","delivery_status","route_distance_km","manual_route_override_count","customer_rating_post_delivery","fuel_or_charge_cost","service_type","order_value","pickup_zone","dropoff_zone","priority_level","booking_channel","promised_window_hours"
"DL00227","O01138","D083","H04","OnTime",16.49,2,4.65,13.68,"Parcel",41.05,"AIRPORT","South","Medium","App",2
"DL00228","O01094","D052","H04","OnTime",6.68,2,4.05,11.59,"Parcel",208.68,"East","RiverSide","Medium","Phone",2
"DL00229","O00518","D050","H02","OnTime",14.89,0,3.97,13.89,"Medical",61.85,"North","EAST","High","Web",12
"DL00230","O00303","D055","H06","Failed",14.85,1,2.34,13.21,"Retail",48.67,"Central","South","Medium","Web",4
"DL00231","O00670","D014","H05","OnTime",13.07,0,4.72,3.86,"Retail",128.5,"SOUTH","West","High","App",4
"DL00232","O00397","D050","H06","OnTime",29.8,1,3.71,14.58,"Parcel",42.94,"Airport","South","Medium","App",12
"DL00233","O01173","D094","H04","OnTime",5.36,0,4.5,11.41,"Passenger",41.11,"NORTH","AIRPORT","Medium","Phone",6
"DL00234","O00340","D056","H01","OnTime",13.52,1,2.88,6.77,"Retail",89.8,"Ctr","Airport","High","App",2
"DL00235","O00507","D022","H05","Failed",18.87,0,3.68,19.15,"Parcel",62.89,"South","West","Medium","App",4
"DL00236","O00013","D163","H07","OnTime",20.12,2,3.74,17.02,"Retail",302.7,"Airport","Central","Medium","App",24
"DL00237","O00082","D135","H06","OnTime",12.83,1,3.62,20.26,"Retail",36.55,"Central","WEST","Medium","App",12
"DL00238","O00979","D146","H04","OnTime",14.2,2,4.02,13.01,"Business",54.09,"north","WEST","Low","Phone",12
"DL00239","O00052","D019","H06","Delayed",13.6,1,3.72,16,"Retail",293.65,"north","Riverside","Medium","API",12
"DL00240","O01169","D131","H06","Failed",38.25,1,3.34,21.21,"Parcel",145.59,"Airport","EAST","Medium","Web",4
"DL00241","O00187","D155","H07","OnTime",10.78,0,5,15.96,"Medical",49.72,"South","East","Medium","App",12
"DL00242","O00119","D137","H07","Delayed",4.26,2,1.93,17.11,"Medical",66.42,"NORTH","NORTH","Low","App",4
"DL00243","O00544","D099","H04","OnTime",14.39,1,4.52,10.27,"Retail",53.15,"CENTRAL","WEST","Low","Phone",24
"DL00244","O00610","D024","H03","OnTime",6.55,0,4.87,10.1,"Passenger",169.63,"South","Riverside","Medium","API",24
"DL00245","O01206","D047","H01","OnTime",16.57,1,4.28,17.58,"Medical",142.54,"CENTRAL","Riverside","High","Web",4
"DL00246","O00603","D016","H05","OnTime",20.51,0,4.05,12.98,"Parcel",66.39,"West","RiverSide","Medium","App",24
"DL00247","O00881","D056","H08","OnTime",11.09,0,NA,5.77,"Passenger",83.23,"Riverside","South","Low","App",6
"DL00248","O00799","D099","H02","OnTime",7.06,1,5,13.65,"Passenger",260,"EAST","SOUTH","High","Web",24
"DL00249","O00770","D139","H06","Delayed",15.28,0,3.02,15.91,"Retail",68.11,"South","WEST","Medium","App",2
"DL00250","O00977","D092","H03","OnTime",6.39,0,4.03,7.45,"Retail",25.58,"West","West","Medium","App",4
"DL00251","O00122","D005","H06","Failed",14.27,0,3.89,16.33,"Medical",27.55,"RiverSide","NORTH","Medium","App",1
"DL00252","O00713","D109","H05","OnTime",11.34,0,4.06,10.82,"Medical",48.38,"SOUTH","NORTH","Low","Phone",6
"DL00253","O00325","D126","H08","OnTime",5.12,1,4.24,9.16,"Passenger",70.71,"north","South","Medium","Web",2
"DL00254","O00933","D053","H05","OnTime",11.34,1,4.09,12.33,"Passenger",96.98,"South","AIRPORT","High","Phone",6
"DL00255","O00908","D154","H06","Delayed",28.05,3,3.35,18.76,"Parcel",142.89,"AIRPORT","East","Low","App",6
"DL00256","O00389","D105","H01","Delayed",8.17,1,3.16,14.91,"Passenger",65.05,"Central","RiverSide","Low","App",4
"DL00257","O00103","D034","H02","Delayed",15.88,1,3.54,14.05,"Business",77.37,"SOUTH","WEST","Low","App",12
"DL00258","O01230","D003","H02","Delayed",15.09,2,3.74,8.22,"Parcel",86.63,"Central","NORTH","High","App",1
"DL00259","O00266","D120","H06","Delayed",16.86,1,1,19.95,"Business",41.27,"Ctr","North","High","App",2
"DL00260","O00152","D001","H04","OnTime",21.6,0,3.32,17.16,"Retail",139.65,"EAST","North","Medium","Web",24
"DL00261","O00445","D051","H02","Failed",10.73,1,3.18,9.58,"Passenger",68.98,"South","RiverSide","High","App",2
"DL00262","O00762","D134","H08","OnTime",5.51,0,4.14,10.11,"Retail",21.57,"East","South","Medium","App",4
"DL00263","O01006","D048","H01","Delayed",15.66,1,2.55,9.31,"Parcel",74.48,"CENTRAL","East","High","Phone",12
"DL00264","O00802","D073","H08","OnTime",11.61,0,4.33,11.38,"Passenger",32.72,"West","WEST","Medium","Phone",24
"DL00265","O00253","D119","H03","OnTime",14.43,0,4.54,15.01,"Retail",144.86,"Ctr","WEST","High","Web",4
"DL00266","O01041","D154","H06","OnTime",9.09,0,4.73,15.87,"Passenger",41.43,"South","West","Medium","App",4
"DL00267","O00665","D090","H08","OnTime",7.98,1,4.96,8.83,"Passenger",176.48,"WEST","Central","Low","App",4
"DL00268","O00030","D008","H02","OnTime",8.7,1,3.88,15.46,"Medical",44.84,"north","EAST","Low","App",12
"DL00269","O00131","D085","H06","Delayed",16.05,1,1.96,13.91,"Retail",14.11,"East","WEST","Medium","App",24
"DL00270","O00764","D104","H08","Failed",5.37,1,4.29,12.93,"Retail",72.77,"North","West","Medium","App",2
"DL00271","O00193","D036","H06","Delayed",9.24,2,4.25,2.78,"Business",202.67,"East","Ctr","Medium","App",4
"DL00272","O00494","D132","H05","OnTime",21.67,1,4.27,20.58,"Parcel",50.08,"EAST","Airport","Medium","App",1
"DL00273","O00492","D071","H01","OnTime",9.75,0,2.95,14.1,"Retail",70.04,"WEST","SOUTH","Critical","App",6
"DL00274","O01198","D080","H02","OnTime",9.06,0,4.14,6.22,"Retail",36.61,"NORTH","East","High","App",6
"DL00275","O00697","D002","H07","OnTime",1.96,0,4.25,8.32,"Medical",7.69,"East","WEST","Medium","API",6
"DL00276","O00531","D119","H02","OnTime",30.31,2,4.17,18.74,"Business",157.07,"Airport","AIRPORT","High","App",24
"DL00277","O00942","D104","H04","OnTime",7.7,2,4.03,12.17,"Passenger",101.75,"Ctr","RiverSide","High","App",12
"DL00278","O00203","D135","H07","Failed",3.93,2,3.49,3.82,"Business",84.76,"CENTRAL","AIRPORT","High","Web",6
"DL00279","O00201","D032","H01","OnTime",11.65,2,4.15,8.01,"Passenger",118.29,"north","South","Medium","Web",4
"DL00280","O00535","D037","H03","OnTime",13.44,1,4.63,15.09,"Retail",24.09,"RiverSide","Riverside","Medium","App",6
"DL00281","O00801","D123","H02","OnTime",24.03,1,4.79,22.2,"Retail",111.28,"SOUTH","NORTH","Medium","App",6
"DL00282","O01232","D045","H03","OnTime",14.86,1,3.5,16.26,"Passenger",55.4,"WEST","East","Medium","App",6
"DL00283","O01212","D142","H08","OnTime",18.32,2,3.76,18.79,"Parcel",45.3,"West","SOUTH","Low","API",2
"DL00284","O00999","D089","H03","OnTime",2.53,0,3.73,4.03,"Retail",170.69,"RiverSide","SOUTH","High","Web",24
"DL00285","O00442","D001","H07","OnTime",9.22,0,4.95,8.62,"Business",81.32,"Ctr","West","High","API",4
"DL00286","O00059","D038","H05","Delayed",13.74,0,3.32,7.06,"Passenger",20.32,"CENTRAL","Airport","Medium","Web",2
"DL00287","O00352","D138","H01","OnTime",36.08,2,4.24,24.5,"Parcel",271.29,"Airport","North","Low","App",4
"DL00288","O00636","D004","H03","Delayed",14.61,0,1,15.39,"Medical",134.63,"West","north","Medium","App",4
"DL00289","O00233","D027","H01","OnTime",13.45,3,4.34,9.29,"Parcel",100.64,"Riverside","South","High","Phone",1
"DL00290","O00524","D035","H03","OnTime",30.93,0,5,19.1,"Passenger",40.41,"Airport","Riverside","Medium","App",4
"DL00291","O00485","D100","H04","OnTime",17.86,1,3.97,19.28,"Passenger",95.19,"North","Ctr","High","API",1
"DL00292","O00811","D149","H01","OnTime",15.21,1,4.41,18.9,"Retail",104.5,"north","Riverside","Medium","App",6
"DL00293","O00888","D098","H07","OnTime",16.53,1,3.97,12.62,"Medical",139.5,"RiverSide","Riverside","Low","App",2
"DL00294","O00443","D093","H08","OnTime",12.21,0,4.39,15.82,"Parcel",63.8,"NORTH","RiverSide","Medium","App",12
"DL00295","O01101","D131","H07","OnTime",20.39,2,5,18.38,"Parcel",38.39,"RiverSide","north","Medium","Phone",6
"DL00296","O01064","D062","H03","Delayed",16.44,2,4.7,11.33,"Passenger",48.29,"CENTRAL","AIRPORT","Medium","App",12
"DL00297","O01109","D107","H01","OnTime",33.69,1,3.55,22.27,"Business",16.12,"AIRPORT","Riverside","Low","Phone",2
"DL00298","O01051","D111","H05","Delayed",11.95,0,3.03,8.36,"Retail",74.57,"Central","AIRPORT","Low","Phone",4
"DL00299","O01061","D121","H07","OnTime",15.83,3,4.49,12.5,"Retail",13.17,"Central","WEST","Medium","App",2
"DL00300","O00222","D039","H05","OnTime",10.01,1,3.41,14.32,"Parcel",27.35,"Riverside","WEST","High","Phone",4
"DL00301","O01152","D165","H04","OnTime",9.27,0,5,9.21,"Passenger",192.23,"Riverside","WEST","High","App",24
"DL00302","O01208","D117","H06","OnTime",14.89,0,3.6,10.25,"Medical",116.78,"Riverside","South","Medium","Phone",12
"DL00303","O00813","D143","H06","OnTime",10.29,1,5,18.54,"Parcel",75.79,"NORTH","north","Medium","App",4
"DL00304","O00433","D036","H08","Failed",11.81,0,2.83,10.31,"Retail",85.59,"Ctr","Central","Medium","Phone",12
"DL00305","O00584","D028","H06","OnTime",27.25,0,3.81,15.04,"Retail",137.29,"AIRPORT","WEST","Medium","App",6
"DL00306","O01168","D136","H07","Delayed",34.53,4,2.96,19.47,"Passenger",30.78,"AIRPORT","CENTRAL","Medium","Web",12
"DL00307","O00699","D089","H03","OnTime",11.84,1,3.9,12.44,"Medical",202.46,"SOUTH","Riverside","Medium","Web",12
"DL00308","O00495","D146","H01","OnTime",8.6,0,3.55,10.89,"Passenger",133.15,"EAST","South","Low","App",6
"DL00309","O00783","D164","H02","OnTime",10.02,0,3.2,6.99,"Parcel",46.36,"North","East","Critical","App",4
"DL00310","O00285","D149","H08","OnTime",9.55,2,4.67,12.27,"Business",106.65,"north","North","High","App",4
"DL00311","O00797","D086","H05","OnTime",8.21,2,5,10.01,"Passenger",47.39,"RiverSide","RiverSide","Medium","App",4
"DL00312","O00204","D142","H03","Failed",31.38,0,4.79,14.35,"Passenger",61.59,"AIRPORT","WEST","High","App",12
"DL00313","O00601","D136","H08","OnTime",17.43,2,3.9,12.77,"Retail",49.24,"north","South","Low","Phone",6
"DL00314","O00499","D078","H08","OnTime",5.63,2,4.16,6.47,"Passenger",62.77,"East","Central","Medium","Phone",4
"DL00315","O01107","D082","H04","Delayed",37.41,2,4.22,17.73,"Business",282.35,"Airport","Central","Medium","App",12
"DL00316","O00081","D108","H08","Failed",7.85,1,4.11,9.08,"Passenger",208.38,"WEST","Airport","Low","App",6
"DL00317","O00711","D105","H06","OnTime",13.76,1,4.67,13.99,"Passenger",69.11,"SOUTH","South","High","Web",2
"DL00318","O00281","D054","H03","OnTime",26.53,3,4.48,16.02,"Passenger",47.49,"AIRPORT","north","Low","Web",4
"DL00319","O00937","D153","H04","Failed",1.2,0,2.72,10.96,"Parcel",31.56,"Riverside","SOUTH","High","App",4
"DL00320","O01030","D059","H08","OnTime",5.12,1,5,10.77,"Parcel",186.34,"Ctr","West","High","Web",6
"DL00321","O00438","D119","H03","OnTime",8.71,3,4.26,14.34,"Business",27.39,"North","WEST","Low","Phone",4
"DL00322","O01025","D023","H04","Delayed",11.02,1,5,13.23,"Parcel",75.72,"WEST","North","Medium","App",6
"DL00323","O00666","D011","H04","OnTime",24.58,3,4.21,18.25,"Parcel",185.32,"AIRPORT","CENTRAL","Low","App",24
"DL00324","O00455","D042","H07","Failed",21.07,1,3.21,12.52,"Passenger",144.79,"Airport","AIRPORT","High","App",6
"DL00325","O00582","D108","H08","OnTime",14.87,0,5,14,"Parcel",48.36,"South","CENTRAL","Medium","Phone",2
"DL00326","O00500","D137","H07","OnTime",17.24,0,4.02,17.18,"Retail",64.83,"NORTH","WEST","Low","App",12
"DL00327","O00418","D102","H04","OnTime",9.17,0,4.78,9.88,"Passenger",46.83,"Riverside","South","Critical","Web",12
"DL00328","O00060","D009","H02","OnTime",4.02,1,3.26,8.95,"Medical",37.52,"north","EAST","Critical","Web",6
"DL00329","O00805","D100","H08","OnTime",1.62,0,4.03,11.74,"Passenger",180.16,"NORTH","CENTRAL","Low","App",6
"DL00330","O00246","D049","H04","Failed",15.83,1,2.59,16.95,"Parcel",68.11,"EAST","Riverside","Medium","Web",4
"DL00331","O01059","D005","H07","OnTime",12.94,2,3.72,15.48,"Business",19.55,"East","East","Medium","App",6
"DL00332","O00949","D121","H06","Delayed",5.96,1,3.42,9.99,"Medical",71.3,"WEST","WEST","Medium","Web",24
"DL00333","O00930","D119","H06","Delayed",21.85,0,1.76,16.51,"Retail",133.79,"Ctr","RiverSide","High","App",4
"DL00334","O00925","D018","H03","Failed",17.65,0,3.01,12.27,"Business",162.25,"South","AIRPORT","Low","Web",12
"DL00335","O00347","D082","H05","OnTime",12.56,0,4.4,15.64,"Parcel",78.58,"SOUTH","SOUTH","Medium",NA,12
"DL00336","O00891","D076","H03","OnTime",6.82,1,3.73,6,"Passenger",82.47,"Ctr","Airport","Medium","Web",2
"DL00337","O00659","D116","H06","OnTime",23.37,1,4.48,14.95,"Retail",135.53,"South","North","Low","API",12
"DL00338","O00331","D085","H05","OnTime",12.27,2,4.32,14.93,"Parcel",36.77,"RiverSide","East","Medium","App",6
"DL00339","O00593","D073","H04","Delayed",4.33,0,1.57,12.76,"Passenger",63.86,"Central","Riverside","High","Phone",1
"DL00340","O00435","D086","H05","OnTime",22.6,0,3.8,20.75,"Retail",47.28,"South","Ctr","Medium","Phone",4
"DL00341","O01203","D050","H07","OnTime",2.78,0,3.72,12.39,"Parcel",141.68,"WEST","RiverSide","Medium","Web",24
"DL00342","O00123","D028","H08","Failed",6.8,0,2.47,8.94,"Retail",21.55,"WEST","EAST","High","App",2
"DL00343","O00505","D015","H04","OnTime",34.31,1,2.98,15.09,"Retail",84.65,"Airport","West","High","Web",12
"DL00344","O00238","D164","H02","OnTime",11.63,0,5,11.55,"Parcel",192.22,"SOUTH","West","Critical","Phone",4
"DL00345","O01175","D036","H06","OnTime",8.75,1,4.22,2.72,"Retail",63.42,"WEST","Airport","Low","Web",24
"DL00346","O00614","D097","H03","OnTime",15.26,1,3.93,14.52,"Passenger",259.73,"WEST","RiverSide","Medium","App",2
"DL00347","O00343","D026","H03","Delayed",15.62,0,3.94,18,"Business",81.36,"Ctr","SOUTH","Medium","App",2
"DL00348","O00754","D098","H01","Delayed",2.21,4,2.89,13.34,"Parcel",65.19,"Central","Airport","Medium","App",4
"DL00349","O00231","D016","H07","Delayed",15.82,0,2.75,11.11,"Passenger",69.44,"East","South","Low",NA,6
"DL00350","O01209","D019","H06","Failed",13.23,1,3.05,11.77,"Parcel",12.79,"RiverSide","CENTRAL","Medium","App",2
"DL00351","O00069","D142","H07","OnTime",33.13,0,4.53,22.56,"Passenger",103.29,"AIRPORT","RiverSide","Medium","Phone",12
"DL00352","O00989","D133","H05","Failed",9.57,0,2.25,15.47,"Medical",89.8,"north","Central","Medium","API",1
"DL00353","O00159","D018","H03","OnTime",4.49,0,3.9,6.4,"Parcel",105.17,"North","South","Low","API",12
"DL00354","O00776","D014","H04","OnTime",10.43,0,4.54,9.64,"Parcel",108.49,"Riverside","East","Low","Phone",4
"DL00355","O00561","D162","H07","Delayed",7.43,1,3.96,12.85,"Retail",86.87,"CENTRAL","AIRPORT","High","App",4
"DL00356","O01181","D031","H04","OnTime",13.12,0,4.84,6.12,"Retail",95.57,"West","EAST","High","App",6
"DL00357","O00235","D134","H08","Delayed",14.75,1,3.27,7.91,"Retail",27.53,"Ctr","Central","Medium","Phone",2
"DL00358","O00497","D022","H02","Delayed",19.28,1,3.57,14.5,"Medical",169.24,"South","Ctr","Low","App",12
"DL00359","O00654","D068","H01","Delayed",18.71,1,2.94,15.84,"Parcel",47.22,"Ctr","Airport","High","App",24
"DL00360","O00595","D100","H02","Delayed",12.5,1,2.59,21.14,"Business",71.08,"South","AIRPORT","Medium","App",12
"DL00361","O00377","D007","H07","OnTime",25.24,0,4.4,13.28,"Retail",213.06,"AIRPORT","East","Medium","App",12
"DL00362","O00460","D156","H04","OnTime",6.09,0,3.51,8.56,"Passenger",72.35,"Central","NORTH","Low","Web",4
"DL00363","O00710","D069","H07","OnTime",19.08,1,5,17.76,"Passenger",91.43,"South","SOUTH","Low","Web",6
"DL00364","O00277","D056","H04","OnTime",23.79,1,3.98,11.43,"Passenger",107.13,"West","Central","Medium","Phone",6
"DL00365","O00861","D064","H01","OnTime",10.33,0,4.19,9.22,"Passenger",90.82,"EAST","CENTRAL","Medium","App",2
"DL00366","O00910","D146","H06","OnTime",17.03,0,3.63,18.63,"Business",159.86,"north","north","Medium","App",6
"DL00367","O00575","D128","H02","Delayed",3.02,0,2.94,16.73,"Retail",30.5,"Riverside","RiverSide","Medium","Phone",12
"DL00368","O00474","D147","H01","OnTime",35.4,2,3.94,18.88,"Medical",283.42,"Airport","CENTRAL","Medium","Phone",2
"DL00369","O00366","D011","H05","Delayed",13.48,0,1.44,12.48,"Business",52.46,"CENTRAL","South","High","App",24
"DL00370","O00902","D131","H05","Delayed",1.87,3,1.24,10.71,"Parcel",70.09,"East","West","Medium","App",6
"DL00371","O01079","D158","H03","OnTime",17.43,0,3.57,10.98,"Passenger",190.5,"South","Riverside","Medium","App",24
"DL00372","O00300","D087","H02","OnTime",6.81,0,4.87,8.41,"Retail",33.34,"Riverside","SOUTH","Low","App",4
"DL00373","O00282","D058","H05","Delayed",11.36,0,NA,23.6,"Parcel",207.38,"South","West","Medium","Web",6
"DL00374","O00841","D090","H01","OnTime",23.47,5,3.73,14.32,"Business",21.71,"Airport","SOUTH","Medium","App",6
"DL00375","O00466","D102","H05","OnTime",22.12,1,4.22,17.86,"Business",88.87,"WEST","AIRPORT","High","Web",6
"DL00376","O01104","D090","H04","OnTime",6.72,0,4.51,5.92,"Parcel",55.13,"EAST","RiverSide","Low","Web",12
"DL00377","O00510","D075","H07","Failed",5.45,4,2.23,10.45,"Medical",170.3,"WEST","West","Medium",NA,4
"DL00378","O00070","D111","H02","Failed",7.92,0,2.14,7.93,"Retail",165.63,"Ctr","AIRPORT","Low","App",4
"DL00379","O01127","D018","H02","OnTime",17.4,1,3.6,14.92,"Retail",104.37,"Riverside","CENTRAL","Medium","Web",1
"DL00380","O00120","D130","H01","OnTime",39.9,2,3.71,19.33,"Passenger",85.27,"Airport","NORTH","Medium","Phone",6
"DL00381","O00488","D015","H05","OnTime",11.24,0,5,10.97,"Medical",111.27,"North","SOUTH","Low","Phone",4
"DL00382","O00141","D163","H02","OnTime",7.31,0,4.39,11.68,"Business",83.09,"North","SOUTH","High","Web",1
"DL00383","O00846","D057","H08","Delayed",9.53,1,2.92,9.76,"Parcel",117.43,"EAST","East","High","Web",2
"DL00384","O00618","D017","H05","Failed",14.52,4,2.82,10.94,"Parcel",41.64,"CENTRAL","SOUTH","Medium","App",12
"DL00385","O00617","D123","H08","OnTime",17.51,1,4.44,14.04,"Medical",77.56,"Central","RiverSide","Medium","Web",1
"DL00386","O00135","D144","H05","Failed",1.21,1,3.35,13.97,"Passenger",118.96,"RiverSide","North","Low","App",24
"DL00387","O00274","D016","H01","Failed",11.96,0,2.85,11.86,"Passenger",90.93,"NORTH","West","High","App",24
"DL00388","O00886","D088","H05","OnTime",10.71,1,4.64,9.36,"Passenger",88.24,"East","CENTRAL","Low","App",1
"DL00389","O00649","D054","H01","OnTime",12.41,1,4.57,12.55,"Parcel",30.88,"EAST","Riverside","Low","App",4
"DL00390","O01242","D013","H02","OnTime",12.86,0,4.75,11.06,"Business",284.98,"Ctr","Riverside","Low","App",1
"DL00391","O00242","D119","H06","OnTime",20.65,0,3.63,15.9,"Retail",42.77,"Ctr","WEST","High","App",1
"DL00392","O00832","D063","H04","Delayed",4.77,1,1.15,12.67,"Parcel",99.75,"CENTRAL","Airport","Low","App",6
"DL00393","O01128","D108","H04","Failed",13.97,1,3.11,5.79,"Passenger",12.73,"WEST","AIRPORT","Medium","App",6
"DL00394","O00718","D145","H02","OnTime",15.43,0,4.14,8.78,"Passenger",144.45,"West","AIRPORT","Low","Phone",2
"DL00395","O00219","D012","H06","OnTime",10.75,0,4.29,6.99,"Passenger",62.84,"East","South","Medium","App",2
"DL00396","O01093","D105","H06","OnTime",14.79,2,4.55,21.09,"Retail",38.72,"Riverside","West","Low","App",12
"DL00397","O01199","D125","H04","Delayed",10.5,2,4.61,9.36,"Business",119.36,"Ctr","WEST","Medium","App",1
"DL00398","O00671","D106","H05","Delayed",1.2,1,3.08,9.73,"Retail",118.56,"north","North","Medium","Phone",1
"DL00399","O00966","D129","H08","Delayed",5.64,1,2.38,12.78,"Retail",29.24,"Ctr","CENTRAL","High","App",12
"DL00400","O00867","D165","H06","Failed",25.59,2,2.48,16.84,"Parcel",34.43,"RiverSide","Ctr","Low","App",6
"DL00401","O00870","D067","H08","OnTime",10.23,0,4.47,6.79,"Passenger",144.13,"South","Airport","High","Web",12
"DL00402","O00539","D037","H03","OnTime",10.83,0,5,9.69,"Business",167.91,"Ctr","EAST","High","App",6
"DL00403","O00044","D131","H07","OnTime",11.6,1,4.58,13.74,"Business",61.45,"West","Riverside","Medium","Phone",4
"DL00404","O00502","D049","H02","OnTime",7.84,0,3.14,11.38,"Parcel",61.9,"Riverside","SOUTH","Medium","App",4
"DL00405","O00684","D052","H01","OnTime",12.83,0,NA,16.99,"Parcel",81.01,"CENTRAL","AIRPORT","High","App",24
"DL00406","O00720","D126","H01","OnTime",29.85,1,5,15.78,"Business",111.88,"AIRPORT","AIRPORT","High","App",2
"DL00407","O00598","D010","H06","OnTime",6.92,0,4.04,10.86,"Retail",201.88,"Riverside","Ctr","Medium","App",24
"DL00408","O01019","D071","H08","OnTime",8.49,0,3.3,8.4,"Parcel",206.52,"West","EAST","High","App",4
"DL00409","O00348","D047","H04","OnTime",8.1,0,2.89,10.1,"Parcel",58.25,"NORTH","SOUTH","High","Web",2
"DL00410","O00249","D042","H05","Delayed",5.13,3,4.44,9.64,"Business",218.68,"CENTRAL","West","Critical","App",2
"DL00411","O00108","D122","H01","OnTime",11.22,0,4.68,5.75,"Medical",70.18,"WEST","EAST","Medium","App",12
"DL00412","O00156","D025","H02","OnTime",8.68,0,4.63,8.76,"Parcel",68.58,"West","NORTH","Medium","Web",6
"DL00413","O01077","D046","H01","Failed",6.34,1,4.22,10.75,"Retail",130.85,"North","Riverside","Low","App",4
"DL00414","O00704","D002","H02","OnTime",8.47,1,5,14.75,"Retail",141.29,"North","North","High","Phone",4
"DL00415","O01145","D116","H03","OnTime",13.31,0,4.23,10.05,"Passenger",301.38,"East","NORTH","Medium","App",24
"DL00416","O00293","D067","H04","OnTime",4.61,1,4.01,10.53,"Parcel",67.89,"Ctr","East","Critical","App",6
"DL00417","O00615","D054","H04","OnTime",13.05,0,4.08,18.58,"Parcel",44.37,"WEST","WEST","High","App",1
"DL00418","O00075","D167","H06","OnTime",4.73,1,5,10.5,"Business",85.65,"North","East","Medium","Web",2
"DL00419","O00782","D043","H06","OnTime",12.37,0,5,12.37,"Passenger",37.19,"SOUTH","SOUTH","Medium","Web",2
"DL00420","O00412","D093","H05","OnTime",10,0,4.12,9.3,"Passenger",54.76,"north","AIRPORT","Critical","App",6
"DL00421","O00286","D026","H02","OnTime",17.73,1,4.49,8.92,"Business",84.75,"WEST","EAST","Low","App",6
"DL00422","O01178","D135","H01","OnTime",14.18,0,4.88,10.37,"Medical",2.04,"West","Riverside","Critical","Web",4
"DL00423","O01245","D113","H05","OnTime",22.08,1,4.11,10.84,"Retail",24.93,"AIRPORT","Airport","High","App",2
"DL00424","O00503","D061","H08","OnTime",8.14,1,5,14.49,"Passenger",41.14,"Central","RiverSide","Low","Web",6
"DL00425","O00564","D070","H04","OnTime",13.09,1,4.82,4.86,"Retail",59.68,"NORTH","Ctr","Medium","App",12
"DL00426","O00814","D150","H05","OnTime",12.88,1,4.57,19.14,"Passenger",27.9,"East","Riverside","Medium","Phone",12
"DL00427","O00414","D165","H07","OnTime",9.53,0,3.92,9.98,"Parcel",283.98,"South","West","Medium","App",6
"DL00428","O00496","D109","H07","OnTime",10.72,0,4.32,7.53,"Passenger",117.66,"SOUTH","AIRPORT","Critical","App",4
"DL00429","O00738","D030","H07","Delayed",41.94,3,2.92,21.55,"Retail",66.54,"AIRPORT","WEST","High","App",2
"DL00430","O00779","D025","H01","OnTime",12.92,0,5,11.78,"Retail",69.68,"RiverSide","Ctr","Critical","App",24
"DL00431","O00737","D164","H01","OnTime",10.56,1,4.7,16.33,"Retail",117.82,"CENTRAL","Central","Medium","Web",2
"DL00432","O00658","D119","H05","Failed",14.42,0,4.06,19.62,"Retail",68.43,"north","north","Medium","App",12
"DL00433","O00148","D133","H01","OnTime",14.34,2,2.92,12.9,"Medical",86.3,"EAST","EAST","High","Phone",2
"DL00434","O00395","D031","H04","Delayed",16.69,0,3.34,16.51,"Passenger",20.16,"WEST","East","Medium","Web",1
"DL00435","O00198","D129","H08","OnTime",10.63,0,5,4.82,"Parcel",21.51,"West","Central","Low","Web",2
"DL00436","O01063","D034","H04","OnTime",9.89,0,4,12.8,"Retail",47.11,"East","Riverside","Medium","App",12
"DL00437","O01223","D167","H05","OnTime",13.43,0,4.8,11.05,"Parcel",97.73,"East","Riverside","Medium","Web",12
"DL00438","O00992","D083","H04","Failed",27.82,1,3.12,15.69,"Retail",54.25,"Ctr","South","High","Phone",4
"DL00439","O00983","D117","H07","Delayed",13.81,1,3.68,19.27,"Passenger",122.09,"CENTRAL","North","Medium","Web",4
"DL00440","O00758","D028","H03","Delayed",10.74,4,3.54,9.77,"Parcel",144.81,"EAST","West","Low","Phone",6
"DL00441","O00014","D141","H01","OnTime",8.82,0,4.7,7.36,"Passenger",90.96,"Ctr","Ctr","Low","Phone",6
"DL00442","O01090","D150","H02","OnTime",8.63,1,4.98,6.69,"Medical",58.6,"South","Airport","Critical","App",24
"DL00443","O01170","D070","H06","OnTime",3.65,0,3.34,12.85,"Passenger",104.64,"Ctr","West","Low","Web",6
"DL00444","O01221","D017","H05","Failed",11.43,0,3,9.78,"Passenger",183.7,"EAST","Ctr","Medium","App",4
"DL00445","O00055","D074","H03","Delayed",37.02,0,3.55,21.88,"Retail",73.7,"Airport","RiverSide","Medium","App",2
"DL00446","O00903","D002","H07","Delayed",8.25,1,2.26,10.76,"Parcel",18.78,"Ctr","EAST","Low","Web",4
"DL00447","O00812","D070","H01","OnTime",9.36,1,4.55,9.47,"Parcel",55.92,"WEST","Airport","Medium","App",24
"DL00448","O01033","D101","H03","OnTime",11.14,0,4.65,14.25,"Medical",11.57,"WEST","Central","Low","Phone",1
"DL00449","O00454","D047","H07","OnTime",14.65,0,4.58,12.62,"Medical",51.66,"West","north","Medium","App",12
"DL00450","O01161","D049","H06","Failed",10.61,1,3.99,12.55,"Passenger",32.02,"Riverside","North","High","App",4
"DL00451","O01188","D145","H01","OnTime",11.19,0,3.58,14.22,"Parcel",83.85,"Ctr","WEST","Critical","Phone",1
"DL00452","O00468","D125","H01","OnTime",8.52,1,3.65,12.49,"Retail",22.82,"East","South","Medium","App",2
"DL00453","O00248","D130","H06","OnTime",11.9,1,NA,8.88,"Passenger",16.18,"South","AIRPORT","Medium","Phone",4
